"Data As Of","Jurisdiction of Occurrence","Urban-Rural Classification","Year","Month","Time Period","Total Deaths","Drug Overdose Deaths"
"07/04/2021","United States","1-Large central metro","2018","12","12 month-ending","732,433","20,724"
"07/04/2021","United States","2-Large fringe metro","2018","12","12 month-ending","659,548","17,832"
"07/04/2021","United States","3-Medium metro","2018","12","12 month-ending","620,692","15,213"
"07/04/2021","United States","4-Small metro","2018","12","12 month-ending","295,592","5,497"
"07/04/2021","United States","5-Micropolitan","2018","12","12 month-ending","299,711","5,115"
"07/04/2021","United States","6-Noncore","2018","12","12 month-ending","231,229","2,986"
"07/04/2021","United States","1-Large central metro","2019","1","12 month-ending","724,199","20,757"
"07/04/2021","United States","2-Large fringe metro","2019","1","12 month-ending","653,138","17,705"
"07/04/2021","United States","3-Medium metro","2019","1","12 month-ending","614,342","15,205"
"07/04/2021","United States","4-Small metro","2019","1","12 month-ending","292,862","5,523"
"07/04/2021","United States","5-Micropolitan","2019","1","12 month-ending","296,834","5,077"
"07/04/2021","United States","6-Noncore","2019","1","12 month-ending","228,735","2,960"
"07/04/2021","United States","1-Large central metro","2019","2","12 month-ending","723,286","20,801"
"07/04/2021","United States","2-Large fringe metro","2019","2","12 month-ending","651,606","17,665"
"07/04/2021","United States","3-Medium metro","2019","2","12 month-ending","613,839","15,182"
"07/04/2021","United States","4-Small metro","2019","2","12 month-ending","292,281","5,456"
"07/04/2021","United States","5-Micropolitan","2019","2","12 month-ending","296,505","5,076"
"07/04/2021","United States","6-Noncore","2019","2","12 month-ending","228,416","2,983"
"07/04/2021","United States","1-Large central metro","2019","3","12 month-ending","724,576","20,918"
"07/04/2021","United States","2-Large fringe metro","2019","3","12 month-ending","652,963","17,548"
"07/04/2021","United States","3-Medium metro","2019","3","12 month-ending","615,096","15,244"
"07/04/2021","United States","4-Small metro","2019","3","12 month-ending","292,979","5,424"
"07/04/2021","United States","5-Micropolitan","2019","3","12 month-ending","297,394","5,157"
"07/04/2021","United States","6-Noncore","2019","3","12 month-ending","229,049","2,966"
"07/04/2021","United States","1-Large central metro","2019","4","12 month-ending","724,876","20,971"
"07/04/2021","United States","2-Large fringe metro","2019","4","12 month-ending","653,643","17,460"
"07/04/2021","United States","3-Medium metro","2019","4","12 month-ending","615,947","15,319"
"07/04/2021","United States","4-Small metro","2019","4","12 month-ending","293,045","5,421"
"07/04/2021","United States","5-Micropolitan","2019","4","12 month-ending","297,576","5,149"
"07/04/2021","United States","6-Noncore","2019","4","12 month-ending","229,060","2,944"
"07/04/2021","United States","1-Large central metro","2019","5","12 month-ending","726,349","21,069"
"07/04/2021","United States","2-Large fringe metro","2019","5","12 month-ending","655,892","17,503"
"07/04/2021","United States","3-Medium metro","2019","5","12 month-ending","617,646","15,312"
"07/04/2021","United States","4-Small metro","2019","5","12 month-ending","293,859","5,418"
"07/04/2021","United States","5-Micropolitan","2019","5","12 month-ending","298,672","5,096"
"07/04/2021","United States","6-Noncore","2019","5","12 month-ending","229,850","2,922"
