"data_as_of","death_year","death_month","jurisdiction_occurrence","drug_involved","time_period","month_ending_date","drug_overdose_deaths","footnote"
"01/04/2026","2019","1","United States","Cocaine","12 month-ending","01/31/2019","15,613",
"01/04/2026","2019","1","United States","Fentanyl","12 month-ending","01/31/2019","30,367",
"01/04/2026","2019","1","United States","Gabapentin","12 month-ending","01/31/2019","1,935",
"01/04/2026","2019","1","United States","Heroin","12 month-ending","01/31/2019","15,475",
"01/04/2026","2019","1","United States","Methamphetamine","12 month-ending","01/31/2019","12,059",
"01/04/2026","2019","1","United States","Oxycodone","12 month-ending","01/31/2019","5,029",
"01/04/2026","2019","1","United States","Xylazine","12 month-ending","01/31/2019","123",
"01/04/2026","2019","2","United States","Cocaine","12 month-ending","02/28/2019","15,607",
"01/04/2026","2019","2","United States","Fentanyl","12 month-ending","02/28/2019","30,533",
"01/04/2026","2019","2","United States","Gabapentin","12 month-ending","02/28/2019","1,955",
"01/04/2026","2019","2","United States","Heroin","12 month-ending","02/28/2019","15,455",
"01/04/2026","2019","2","United States","Methamphetamine","12 month-ending","02/28/2019","12,219",
"01/04/2026","2019","2","United States","Oxycodone","12 month-ending","02/28/2019","4,976",
"01/04/2026","2019","2","United States","Xylazine","12 month-ending","02/28/2019","139",
"01/04/2026","2019","3","United States","Cocaine","12 month-ending","03/31/2019","15,568",
"01/04/2026","2019","3","United States","Fentanyl","12 month-ending","03/31/2019","30,818",
"01/04/2026","2019","3","United States","Gabapentin","12 month-ending","03/31/2019","1,966",
"01/04/2026","2019","3","United States","Heroin","12 month-ending","03/31/2019","15,390",
"01/04/2026","2019","3","United States","Methamphetamine","12 month-ending","03/31/2019","12,476",
"01/04/2026","2019","3","United States","Oxycodone","12 month-ending","03/31/2019","4,894",
"01/04/2026","2019","3","United States","Xylazine","12 month-ending","03/31/2019","180",
"01/04/2026","2019","4","United States","Cocaine","12 month-ending","04/30/2019","15,565",
"01/04/2026","2019","4","United States","Fentanyl","12 month-ending","04/30/2019","31,035",
"01/04/2026","2019","4","United States","Gabapentin","12 month-ending","04/30/2019","1,940",
"01/04/2026","2019","4","United States","Heroin","12 month-ending","04/30/2019","15,288",
"01/04/2026","2019","4","United States","Methamphetamine","12 month-ending","04/30/2019","12,708",
"01/04/2026","2019","4","United States","Oxycodone","12 month-ending","04/30/2019","4,852",
"01/04/2026","2019","4","United States","Xylazine","12 month-ending","04/30/2019","223",
"01/04/2026","2019","5","United States","Cocaine","12 month-ending","05/31/2019","15,554",
"01/04/2026","2019","5","United States","Fentanyl","12 month-ending","05/31/2019","31,226",
"01/04/2026","2019","5","United States","Gabapentin","12 month-ending","05/31/2019","1,932",
"01/04/2026","2019","5","United States","Heroin","12 month-ending","05/31/2019","15,195",
"01/04/2026","2019","5","United States","Methamphetamine","12 month-ending","05/31/2019","12,969",
"01/04/2026","2019","5","United States","Oxycodone","12 month-ending","05/31/2019","4,794",
"01/04/2026","2019","5","United States","Xylazine","12 month-ending","05/31/2019","253",
"01/04/2026","2019","6","United States","Cocaine","12 month-ending","06/30/2019","15,537",
"01/04/2026","2019","6","United States","Fentanyl","12 month-ending","06/30/2019","31,432",
"01/04/2026","2019","6","United States","Gabapentin","12 month-ending","06/30/2019","1,993",
"01/04/2026","2019","6","United States","Heroin","12 month-ending","06/30/2019","15,054",
"01/04/2026","2019","6","United States","Methamphetamine","12 month-ending","06/30/2019","13,201",
"01/04/2026","2019","6","United States","Oxycodone","12 month-ending","06/30/2019","4,749",
"01/04/2026","2019","6","United States","Xylazine","12 month-ending","06/30/2019","299",
"01/04/2026","2019","7","United States","Cocaine","12 month-ending","07/31/2019","15,643",
"01/04/2026","2019","7","United States","Fentanyl","12 month-ending","07/31/2019","31,861",
"01/04/2026","2019","7","United States","Gabapentin","12 month-ending","07/31/2019","2,093",
"01/04/2026","2019","7","United States","Heroin","12 month-ending","07/31/2019","14,959",
"01/04/2026","2019","7","United States","Methamphetamine","12 month-ending","07/31/2019","13,487",
"01/04/2026","2019","7","United States","Oxycodone","12 month-ending","07/31/2019","4,711",
"01/04/2026","2019","7","United States","Xylazine","12 month-ending","07/31/2019","367",
"01/04/2026","2019","8","United States","Cocaine","12 month-ending","08/31/2019","15,822",
"01/04/2026","2019","8","United States","Fentanyl","12 month-ending","08/31/2019","32,383",
"01/04/2026","2019","8","United States","Gabapentin","12 month-ending","08/31/2019","2,153",
"01/04/2026","2019","8","United States","Heroin","12 month-ending","08/31/2019","14,831",
"01/04/2026","2019","8","United States","Methamphetamine","12 month-ending","08/31/2019","13,756",
"01/04/2026","2019","8","United States","Oxycodone","12 month-ending","08/31/2019","4,636",
"01/04/2026","2019","8","United States","Xylazine","12 month-ending","08/31/2019","421",
"01/04/2026","2019","9","United States","Cocaine","12 month-ending","09/30/2019","16,018",
"01/04/2026","2019","9","United States","Fentanyl","12 month-ending","09/30/2019","32,943",
"01/04/2026","2019","9","United States","Gabapentin","12 month-ending","09/30/2019","2,218",
"01/04/2026","2019","9","United States","Heroin","12 month-ending","09/30/2019","14,705",
"01/04/2026","2019","9","United States","Methamphetamine","12 month-ending","09/30/2019","14,095",
"01/04/2026","2019","9","United States","Oxycodone","12 month-ending","09/30/2019","4,621",
"01/04/2026","2019","9","United States","Xylazine","12 month-ending","09/30/2019","468",
"01/04/2026","2019","10","United States","Cocaine","12 month-ending","10/31/2019","16,296",
"01/04/2026","2019","10","United States","Fentanyl","12 month-ending","10/31/2019","33,641",
"01/04/2026","2019","10","United States","Gabapentin","12 month-ending","10/31/2019","2,354",
"01/04/2026","2019","10","United States","Heroin","12 month-ending","10/31/2019","14,602",
"01/04/2026","2019","10","United States","Methamphetamine","12 month-ending","10/31/2019","14,473",
"01/04/2026","2019","10","United States","Oxycodone","12 month-ending","10/31/2019","4,619",
"01/04/2026","2019","10","United States","Xylazine","12 month-ending","10/31/2019","515",
"01/04/2026","2019","11","United States","Cocaine","12 month-ending","11/30/2019","16,679",
"01/04/2026","2019","11","United States","Fentanyl","12 month-ending","11/30/2019","34,549",
"01/04/2026","2019","11","United States","Gabapentin","12 month-ending","11/30/2019","2,496",
"01/04/2026","2019","11","United States","Heroin","12 month-ending","11/30/2019","14,658",
"01/04/2026","2019","11","United States","Methamphetamine","12 month-ending","11/30/2019","14,810",
"01/04/2026","2019","11","United States","Oxycodone","12 month-ending","11/30/2019","4,650",
"01/04/2026","2019","11","United States","Xylazine","12 month-ending","11/30/2019","587",
"01/04/2026","2019","12","United States","Cocaine","12 month-ending","12/31/2019","16,997",
"01/04/2026","2019","12","United States","Fentanyl","12 month-ending","12/31/2019","35,473",
"01/04/2026","2019","12","United States","Gabapentin","12 month-ending","12/31/2019","2,579",
"01/04/2026","2019","12","United States","Heroin","12 month-ending","12/31/2019","14,525",
"01/04/2026","2019","12","United States","Methamphetamine","12 month-ending","12/31/2019","15,096",
"01/04/2026","2019","12","United States","Oxycodone","12 month-ending","12/31/2019","4,630",
"01/04/2026","2019","12","United States","Xylazine","12 month-ending","12/31/2019","627",
"01/04/2026","2020","1","United States","Cocaine","12 month-ending","01/31/2020","17,356",
"01/04/2026","2020","1","United States","Fentanyl","12 month-ending","01/31/2020","36,420",
"01/04/2026","2020","1","United States","Gabapentin","12 month-ending","01/31/2020","2,713",
"01/04/2026","2020","1","United States","Heroin","12 month-ending","01/31/2020","14,456",
"01/04/2026","2020","1","United States","Methamphetamine","12 month-ending","01/31/2020","15,370",
"01/04/2026","2020","1","United States","Oxycodone","12 month-ending","01/31/2020","4,679",
