uniqueID,drugName,condition,text,rating,date,usefulCount
158001.0,Accutane,Acne,"""I went on accutane while I was in my freshman year in high school. I suffered from severe acne in middle school. After the first round my skin was very clear. The acne came back again and I went on the second round and again it gave me perfect skin. I love this medicine. It did woners for my skin. The dry lips are worth the end result.""",9.0,13-Feb-09,13.0
45024.0,Fluoxetine,Anxiety and Stress,"""I should have been on this sooner.  I'm a 26 year old recent law school graduate enduring the bar exam- unfortunately twice.  My first round of studying I was crying daily, couldn't sleep, was irritable, extremely depressed, anxious- I am normally these things, but it was heightened by the bar exam.  My first time taking the exam, I didn't come close to finishing the exam on the second day.  I was crying and couldn't control my panic attacks.  Second round of studying for the test, I decided to see a psychiatrist who gave me Prozac.  I love it.  I feel like a normal person.  A better version of who I was.  I feel even, I don't have panic attacks, don't cry, I feel great.""",10.0,9-Apr-17,88.0
165173.0,Phentermine / topiramate,Weight Loss,"""When I initially starting taking the med I lost 7lbs in 9 days. My hopes were high for this medicine. But then...my milligram number was bumped up and that's when all hell broke loose. I had multiple panic attacks while driving. My memory was shot. I couldn't concentrate or even form a decent thought. Please weigh all options before starting this medication.""",1.0,25-Jun-15,32.0
121636.0,Venlafaxine,Major Depressive Disorde,"""First diagnosed in 1965, when a student in London, I was treated with group therapy (useless) and eventually with whatever else was considered to have antidepressant properties at the time (useless). Various MDs in Singapore and Dallas tried whatever was new, but nothing helped. In 2001, after a rather dramatic and public breakdown at a conference of my peers, I was admitted to a psychiatric ward and given 300 mg of Venlafaxine daily. It wasn't a happy pill, but it enabled me to make the most of the CBT that was offered, and allowed me to feel &quot;normal&quot; at last.""",10.0,22-Jul-15,3.0
12902.0,Vardenafil,Erectile Dysfunction,"""I try today one levitra 20mg and it had no effect , i am 27 can u inform me what is the problem? 

I was with full food maybe it is this problem or maybe I need to use another kind of pill""",1.0,19-Sep-15,41.0
52657.0,Doryx,Acne,"""I'm 23 and my acne has always been bad since I was a teenager. I have blemishes all over and I'm always breaking out. I tried just about everything, soaps, creams, facial washes, etc. Recently I asked my physician what can he give me for my acne, he prescribed me 'Tretinoin Cream, USP, 0.025%'. At first this cream broke me out bad so I stopped using it. So I finally went to the dermatologist and she prescribed me 'Differin', 'Doryx', and a facial wash. I take the Doryx in the morning on an empty stomach, then I use the Differin after I wash my face with Irish Spring Aloe and at night I mix the Differin with the Tretinoin. I've been doing for a week now and it is clearing up my skin pretty good. I can't wait to see the results after a month.""",7.0,28-Oct-11,3.0
45091.0,Fluoxetine,Anxiety and Stress,"""With all medications my G.P. gives me daily, is a good reason to try Prozac, I have no days without stress, scared of some health problems, that might kill me, such as brain aneurysm, had 2 surgeries for it, and survived both, first one had less than 50% of surviving, as aneurysm started bleeding, was under for 5 hours, to a coiled process, taking 8 different medication at night and 5 in morning, to help combat diabetic type two, to chronic leg wound open for past 21 years. Scared of everything I do, as stress alone can trigger another brain aneurysm, and I need to stress out, my G.P. freaks out every time I want to try different drugs to ease tension, I smoke marijuana, was licensed by Government, but quit after a year, could write more,..""",8.0,26-Oct-16,23.0
209979.0,Linagliptin,"Diabetes, Type 2","""Hi. I am from Canada.. I am diabetic for 40 tears ..on insulin... on tradjenta  5 mg for over 1 year I felt improvement.... no side effect.... my insulin is lower""",6.0,11-Feb-17,10.0
97176.0,Ambien,Insomnia,"""I have been taking Ambien for about 3 years. I have Anxiety disorder and have had trouble getting to sleep as long as I remember. I worked night shifts because it was easier. After I had kids, I had to become a day person! I had terrible nights of falling asleep at 3-4 am after tossing and turning. I used Benadryl for several years and one night it turned on me, I had anxiety attacks, muscle spasm &amp; ridgidity. My doctor gave me Lexapro, because I had depression at that time as well. I hated it and how numb I always felt. Then he prescribed Ambien. I cut the pill in half. It doesnt knock me out, it just turns my brain to slow and sleepy. I sleep like a baby. I wake very happy and alert. No more depression either.""",9.0,28-Feb-12,27.0
230026.0,Diflucan,Vaginal Yeast Infection,"""Awesome medication. I got a really bad yeast infection that kept coming back after two Z-packs. I took three, three days apart and it completely got rid of it. The inflammation lingered for a bit because the tissue was damaged, which is apparently normal according to WebMD and my doctor.

Once I got an upset stomach from taking it, but that could have easily been avoided if I ate something with it.""",10.0,3-Jun-16,48.0
141091.0,Escitalopram,Generalized Anxiety Disorde,"""Been on 10mg for 11 months and hardly any improvement. Been on 20mg for 2 months and it actually got worse.""",3.0,13-Oct-15,13.0
126500.0,Brimonidine,Rosacea,"""I give it a 10""",10.0,16-Feb-16,13.0
160744.0,Buspirone,Panic Disorde,"""I have only been on it for three days and I am already debating on whether or not to stop. It makes me feel like I'm drunk without the happy feeling. I hope it gets better because I really need something to help stop my anxiety and panic attacks.""",3.0,16-May-11,36.0
171129.0,Methylnaltrexone,"Constipation, Drug Induced","""This is the best medicine available for drug induced constipation, there is no doubt in my experience.  My one concern is that it does involve some urinary retention, certainly when I was given the maximum dose of 12mg.  The lower dose of 8mg caused less urinary retention but I am only using Relistor once a week until we assess how much retention it is causing, by ultrasound.  The manufacturer is still saying urinary retention is not a side effect. I note the comment of urinary retention here.  This could be a serious problem for those of us with underlying disease that involves urinary retention, such as ALD or some forms of MS, for example. Relistor is a great help otherwise.""",9.0,2-Feb-10,32.0
180801.0,Solodyn,Acne,"""I'm 18 years old and I've had horrible red inflamed acne since I was 14. My derm has put me on every topical cream he could think of and I was on Minocycline for six months I believe and at first my skin was the worst its ever been but then it was flawless due to the pill and my birth control. I stopped taking minocycline because my acne cleared up. I just recently started breaking out again so he put me on solodyn and its only been a week and my acne is worse than it ever was before taking oral prescriptions and even worse than my skin at its worst while on minocycline. I'm hoping that it'll have the same effect and clear my skin completely but right now its hopeless.""",1.0,15-Nov-17,0.0
195192.0,Hydrocodone / ibuprofen,Pain,"""30+ years severe back pain from injuries and now severe arthritis in back and joints, especially hands at base of thumbs. In my time of pain, which stretches back to the early 80's, I've tried almost every thing available for pain. Vicodin gives me an incredible headache from the tylenol. Vicoprofen does not. Yes there are a few side effects, but for the relief I gain from using this medicine the side effects are worth the relief. I have suggested vicoprofen to my friends that have experienced headaches from vicodin and when they try it they are extremely pleased that I mentioned it. The headaches were no longer an issue.""",9.0,25-Feb-15,27.0
125419.0,Dulcolax,Constipation,"""I had been constipated for 3 days . So I went to the drugstore and looked over my options for a laxative. Dulcolax said it was &quot;gentle, overnight relief.&quot; So I decided to give it a try . The box says to take 1-3 pills, so I decided to take 2. I drank 2 glasses of water then I went to bed and awoke at 2 am with extreme stomach cramps, cold/hot flashes, and an overall sick feeling. I went to the bathroom too many times to count between the debilitating stomach cramps. Nothing about this product was &quot;gentle&quot; as it states on the box. I laid in bed and moaned and groaned with each cramp. 24 hours later I am still in pain! I thought I might need to go to the emergency room! I will not use this product again or recommend it to anyone! BEWARE!!""",1.0,14-May-15,14.0
156801.0,Dulaglutide,"Diabetes, Type 2","""On Trulicity for 2 months now, haven't lost weight even though appetite has decreased, and I get frequent heartburn (bad) unless I eat something, definitely seems worse when stomach is empty.  Did some research, don't think I want to stay on this stuff, will see my Endo next week.""",5.0,7-Jul-15,13.0
83071.0,Paxil,Anxiety,"""My body was wrecked with anxiety and depression. I thought I was going to lose my mind .Five days days on paxil and I'm a new person""",10.0,9-Nov-13,106.0
